species_indonesia,species_english,nama_latin,nama_daerah,kelompok,jenis_perairan,jenis_konsumsi,jenis_hias,jenis_dilindungi,prioritas,search_keywords,min_images
Gulama,japanese meagre,Argyrosomus japonicus,gumalah; tiga waja; diles; gulama,Gulamah; tigawaja,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Argyrosomus japonicus ; Argyrosomus japonicus fish ; ikan Gumalah ; japanese meagre fish,100
Gulama sirip kasar,tigertooth croaker,Otolithes ruber,ganglemo; grabag; melontak; jarang gigi; tetet,Gulamah; tigawaja,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Otolithes ruber ; Otolithes ruber fish ; ikan Gelik ; tigertooth croaker fish,100
Gulamah,amoy croaker,Argyrosomus amoyensis ; Atrobucca nibe ; Chrysochir aureus ; Johnius amblycephalus ; Johnius borneensis ; Johnius coitor ; Johnius dussumieri ; Nibea albiflora ; Otolithoides pama ; Panna microdon ; Pennahia anea ; Pennahia argentata ; Protonibea diacanthus,bulama; bulamah; diles; gelama papan; gelembung; giligan; gulama; gulama gigi jarang; gulama mata besar; gulama papan; gulama putih; gulama sirip halus; gulamah; jarang gigi; kaneke; keme-keme; kerot-kerot; krokot; kuruk; samgeh; tembirih; tetet; tiga waja; tigawaja; tigawojo; tikusan; tokotok,Gulamah,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Argyrosomus amoyensis ; Argyrosomus amoyensis fish ; Atrobucca nibe ; Atrobucca nibe fish ; Chrysochir aureus ; Chrysochir aureus fish ; Johnius amblycephalus ; Johnius amblycephalus fish ; Johnius borneensis ; Johnius borneensis fish ; Johnius coitor ; Johnius coitor fish ; Panna microdon ; Panna microdon fish ; Pennahia anea ; Pennahia anea fish ; Protonibea diacanthus ; Protonibea diacanthus fish ; Nibea albiflora ; Nibea albiflora fish ; Pennahia argentata ; Pennahia argentata fish ; Johnius dussumieri ; Johnius dussumieri fish ; Otolithoides pama ; Otolithoides pama fish ; ikan Gulamah ; amoy croaker fish,100
Gulamah kuning,large yellow croaker,Larimichthys crocea,,Tigawaja,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,HIGH,Larimichthys crocea ; Larimichthys crocea fish ; ikan Gulamah kuning ; large yellow croaker fish,100
Gupi,Guppy,Poecilia reticulata,ikan seribu; bahenol,Gupi,"TAWAR, PAYAU",NON KONSUMSI,HIAS,TIDAK,HIGH,Poecilia reticulata ; Poecilia reticulata fish ; ikan Gupi ; Guppy fish,100
Gurame,giant gourami,Osphronemus goramy ; Osphronemus septemfasciatus,grameh; gurame; kalui,Gurame,TAWAR,KONSUMSI,NON HIAS,TIDAK,HIGH,Osphronemus goramy ; Osphronemus goramy fish ; Osphronemus septemfasciatus ; Osphronemus septemfasciatus fish ; ikan Gurame ; giant gourami fish,100
Gurita,sandbird octopus,Amphioctopus aegina,gurita; nan,Gurita,LAUT,NON KONSUMSI,NON HIAS,TIDAK,HIGH,Amphioctopus aegina ; Amphioctopus aegina fish ; ikan Marbled octopus ; marbled octopus fish,100
Gurita  biru,big  blue  octopus,Octopus cyaneus,gurita,Gurita,LAUT,NON KONSUMSI,NON HIAS,TIDAK,HIGH,Octopus cyaneus ; Octopus cyaneus fish ; ikan Gurita  biru ; big  blue  octopus fish,100
Gurita webfoot,webfoot octopus,Amphioctopus membranaceus ; Cistopus indicus ; Octopus vulgaris,gurita,Gurita,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,HIGH,Amphioctopus membranaceus ; Amphioctopus membranaceus fish ; Cistopus indicus ; Cistopus indicus fish ; Octopus vulgaris ; Octopus vulgaris fish ; ikan Gurita ; webfoot octopus fish,100
Gurnard starry flying,starry flying gurnard,Dactyloptena peterseni,walang,Gurnard,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Dactyloptena peterseni ; Dactyloptena peterseni fish ; ikan Gurnard starry flying ; starry flying gurnard fish,100
Hairy puffer,hairy puffer,Pao baileyi,,Buntal,TAWAR,NON KONSUMSI,HIAS,TIDAK,HIGH,Pao baileyi ; Pao baileyi fish ; ikan Hairy puffer ; hairy puffer fish,100
Hake,european hake,Merluccius merluccius,,Kod,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Merluccius merluccius ; Merluccius merluccius fish ; ikan Hake ; european hake fish,100
Halibut,greenland halibut,Reinhardtius hippoglossoides,,Sebelah,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Reinhardtius hippoglossoides ; Reinhardtius hippoglossoides fish ; ikan Halibut ; greenland halibut fish,100
Halibut pasifik,pacific halibut,Hippoglossus stenolepis,,Sebelah,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Hippoglossus stenolepis ; Hippoglossus stenolepis fish ; ikan Halibut pasifik ; pacific halibut fish,100
Hampal,hampala barb,Hampala macrolepidota,hampal; hambal; adungan; hampalong; kebarau,Hampal,TAWAR,KONSUMSI,NON HIAS,TIDAK,HIGH,Hampala macrolepidota ; Hampala macrolepidota fish ; ikan Hampal ; hampala barb fish,100
Hantu,black ghost,Apteronotus caudimaculosus ; Apteronotus maculate,,Black ghost,TAWAR,NON KONSUMSI,HIAS,TIDAK,HIGH,Apteronotus maculate ; Apteronotus maculate fish ; Apteronotus caudimaculosus ; Apteronotus caudimaculosus fish ; ikan Hantu ; black ghost fish,100
Harimau irian,campbells tigerfish,Datnioides campbelli,ringo; elang (sumsel); babat (kalbar); macan (papua),Ringau,"PAYAU, TAWAR",NON KONSUMSI,HIAS,TIDAK,HIGH,Datnioides campbelli ; Datnioides campbelli fish ; ikan Harimau irian ; campbells tigerfish fish,100
Harimau perak,four-banded tiger perch; silver tiger fish,Datnioides polota,ringo elang (sumsel); babat (kalbar),Ringau,"PAYAU, TAWAR",NON KONSUMSI,HIAS,TIDAK,HIGH,Datnioides polota ; Datnioides polota fish ; ikan Harimau perak ; four-banded tiger perch; silver tiger fish fish,100
Harlequin sandperch,harlequin sandperch,Parapercis maculata,toto,Grubfish,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Parapercis maculata ; Parapercis maculata fish ; ikan Harlequin sandperch ; harlequin sandperch fish,100
Hayashi's cardinalfish,hayashi's cardinal fish,Pseudamia hayashii,,Capungan,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Pseudamia hayashii ; Pseudamia hayashii fish ; ikan Hayashi's cardinalfish ; hayashi's cardinal fish fish,100
Herring slender shad,elongate ilisha,Ilisha elongata,gemprang; kemprit; biang; sekok; wering; mata besar; mata lebar; putut; sepot,Sarden,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Ilisha elongata ; Ilisha elongata fish ; ikan Herring cina ; elongate ilisha fish,100
Hiu,lombok chimaera,Chimaera argiloba ; Isistius brasiliensis ; Nasolamia velox,,Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Chimaera argiloba ; Chimaera argiloba fish ; Isistius brasiliensis ; Isistius brasiliensis fish ; Nasolamia velox ; Nasolamia velox fish ; ikan Hiu ; lombok chimaera fish,100
Hiu aeuy,bigeye sixgill shark,Hexanchus nakamurai,hiu areuy (jawa barat); kejen pasir (lombok) ; hiu meong; kejen pasir; hiu minyak,Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Hexanchus nakamurai ; Hexanchus nakamurai fish ; ikan Hiu aeuy ; bigeye sixgill shark fish,100
Hiu anjing,grey nurse  shark,Carcharias taurus ; Odontaspis ferox,hiu anjing,Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Carcharias taurus ; Carcharias taurus fish ; Odontaspis ferox ; Odontaspis ferox fish ; ikan Hiu anjing ; grey nurse  shark fish,100
Hiu aron,hardnose shark,Carcharhinus macloti,hiu aron (jawa),Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Carcharhinus macloti ; Carcharhinus macloti fish ; ikan Hiu aron ; hardnose shark fish,100
Hiu banteng,bull shark,Carcharhinus leucas,hiu bekeman (jawa); hi buas,Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Carcharhinus leucas ; Carcharhinus leucas fish ; ikan Hiu banteng ; bull shark fish,100
Hiu berbintik,spotted wobbegong,Orectolobus maculatus,cucut kodok; hiu lepang; hiu katak,Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Orectolobus maculatus ; Orectolobus maculatus fish ; ikan Hiu berbintik ; spotted wobbegong fish,100
Hiu biru,blue shark,Prionace glauca,hiu aer (bali); hiu kare (lombok); hiu lalaek; cucut selendang (jawa),Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Prionace glauca ; Prionace glauca fish ; ikan Hiu biru ; blue shark fish,100
Hiu bisu,tawny nurse shark,Nebrius ferrugineus,hiu gedebong; hiu gedok; (lombok)  cucut buta; hiu bisu (jawa),Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Nebrius ferrugineus ; Nebrius ferrugineus fish ; ikan Hiu bisu ; tawny nurse shark fish,100
Hiu bongol,slender bambooshark,Chiloscyllium indicum ; Chiloscyllium plagiosum ; Chiloscyllium punctatum,cucut dolok (jawa); hiu bango; hiu batu; hiu bonggol; hiu bongo; hiu bongol; hiu gedebong; hiu gedog (lombok); hiu gedok; hiu pasir; hiu zebra,Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Chiloscyllium indicum ; Chiloscyllium indicum fish ; Chiloscyllium plagiosum ; Chiloscyllium plagiosum fish ; Chiloscyllium punctatum ; Chiloscyllium punctatum fish ; ikan Hiu bongol ; slender bambooshark fish,100
Hiu botol,dwarf  gulper shark,Centrophorus atromarginatus ; Centrophorus cf lusitanicus ; Centrophorus isodon ; Centrophorus niaukang ; Zameus squamulosus,cucut botol (jakarta); hiu beurit (jawa barat); hiu botol (jawa barat); hiu botol karang (jawa barat); hiu senget (bali); hiu taji (lombok),Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Centrophorus atromarginatus ; Centrophorus atromarginatus fish ; Centrophorus isodon ; Centrophorus isodon fish ; Centrophorus cf lusitanicus ; Centrophorus cf lusitanicus fish ; Centrophorus niaukang ; Centrophorus niaukang fish ; Zameus squamulosus ; Zameus squamulosus fish ; ikan Hiu botol ; dwarf  gulper shark fish,100
Hiu botol danten,smallfin gulper shark,Centrophorus moluccensis,hiu taji (lombok); hiu botol danten (jawa barat);  hiu senget (bali) . cucut botol (jakarta),Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Centrophorus moluccensis ; Centrophorus moluccensis fish ; ikan Hiu botol danten ; smallfin gulper shark fish,100
Hiu botol leafscale gulper shark,leafscale gulper shark,Centrophorus squamosus,hiu taji (lombok); hiu botol (jawa barat); cucut botol (jakarta),Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Centrophorus squamosus ; Centrophorus squamosus fish ; ikan Hiu botol leafscale gulper shark ; leafscale gulper shark fish,100
Hiu botol longnose velvet dogfish,longnose velvet dogfish,Centroscymnus crepidater,hiu taji,Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Centroscymnus crepidater ; Centroscymnus crepidater fish ; ikan Hiu botol longnose velvet dogfish ; longnose velvet dogfish fish,100
Hiu botol monyong,indonesian birdbeak dogfish,Deania cf calcea,hiu botol monyong (jawa barat),Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Deania cf calcea ; Deania cf calcea fish ; ikan Hiu botol monyong ; indonesian birdbeak dogfish fish,100
Hiu buaya,crocodile shark,Pseudocarcharias kamoharai,hiu togar; hiu buaya; cucut areuy; hiu tongar (jawa barat),Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Pseudocarcharias kamoharai ; Pseudocarcharias kamoharai fish ; ikan Hiu buaya ; crocodile shark fish,100
Hiu bujit,broadfin shark,Lamiopsis temminckii,hiu bujit (kalimantan),Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Lamiopsis temminckii ; Lamiopsis temminckii fish ; ikan Hiu bujit ; broadfin shark fish,100
Hiu cermin,giant shovelnose ray,Glaucostegus typus,kekeh; pait-pait; pari bandong; pari bandrong; pari gitar; hiu kaca,Pari,LAUT,KONSUMSI,NON HIAS,YA,HIGH,Glaucostegus typus ; Glaucostegus typus fish ; ikan Hiu cermin ; giant shovelnose ray fish,100
Hiu cucut botol,short-spine spurdog,Squalus mitsukurii,,Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Squalus mitsukurii ; Squalus mitsukurii fish ; ikan Hiu cucut botol ; short-spine spurdog fish,100
Hiu gergaji,freshwater sawfish,Pristis microdon,hiu gergaji,Pari,LAUT,KONSUMSI,NON HIAS,YA,HIGH,Pristis microdon ; Pristis microdon fish ; ikan Hiu gergaji ; freshwater sawfish fish,100
Hiu jepang,japanese wobbegong,Orectolobus japonicus,,Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Orectolobus japonicus ; Orectolobus japonicus fish ; ikan Hiu jepang ; japanese wobbegong fish,100
Hiu kacang,sicklefin weasel shark,Hemigaleus microstoma ; Hemitriakis indroyonoi ; Hemitriakis leucoperiptera ; Mustelus cf manazo ; Mustelus widodoi ; Paragaleus tengi,cucut londer; cucut londer (jawa); hiu aer (lombok); hiu kacang; hiu kacang (bali); hiu meong (lombok); hiu pasir; hiu pilus; kacangan; karil; karil (jawa barat),Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Hemitriakis indroyonoi ; Hemitriakis indroyonoi fish ; Hemitriakis leucoperiptera ; Hemitriakis leucoperiptera fish ; Hemigaleus microstoma ; Hemigaleus microstoma fish ; Mustelus cf manazo ; Mustelus cf manazo fish ; Mustelus widodoi ; Mustelus widodoi fish ; Paragaleus tengi ; Paragaleus tengi fish ; ikan Hiu kacang ; indonesian houndshark fish,100
Hiu kapukan,sharpnose sevengill shark,Heptranchias perlo,hiu areuy (jawa barat) ; cucut kucing (bali); cucut kapukan (jakarta),Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Heptranchias perlo ; Heptranchias perlo fish ; ikan Hiu kapukan ; sharpnose sevengill shark fish,100
Hiu karang,longnose houndshark,Iago garricki,hiu karang ; karil (jawa barat),Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Iago garricki ; Iago garricki fish ; ikan Hiu karang ; longnose houndshark fish,100
Hiu karang sirip hitam,blacktip reef shark,Carcharhinus melanopterus,hiu lanjam; kluyu karang (lombok); hiu mada; cucut karang,Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Carcharhinus melanopterus ; Carcharhinus melanopterus fish ; ikan Hiu karang sirip hitam ; blacktip reef shark fish,100
Hiu karpet berbintik,indonesia speckled carpetshark,Hemiscyllium freycineti,hiu tekeh,Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Hemiscyllium freycineti ; Hemiscyllium freycineti fish ; ikan Hiu karpet berbintik ; indonesia speckled carpetshark fish,100
Hiu kejen,spodenose shark,Scoliodon laticaudus,yee urot; mungsing,Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Scoliodon laticaudus ; Scoliodon laticaudus fish ; ikan Hiu kejen ; spodenose shark fish,100
Hiu kepala martil bergerigi,scalloped hammerhead,Sphyrna lewini,,Hiu,LAUT,KONSUMSI,NON HIAS,YA,HIGH,Sphyrna lewini ; Sphyrna lewini fish ; ikan Hiu kepala martil bergerigi ; scalloped hammerhead fish,100
Hiu kodok,indo wobbegong,Orectolobus cf ornatus ; Squatina legnota,hiu jenggot (jawa); hiu kodok; hiu kodok (lombok); hiu lepang (lombok),Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Orectolobus cf ornatus ; Orectolobus cf ornatus fish ; Squatina legnota ; Squatina legnota fish ; ikan Hiu kodok ; indo wobbegong fish,100
Hiu lanjaman,bignose shark,Carcharhinus altimus ; Carcharhinus amblyrhynchoides ; Carcharhinus amblyrhynchos ; Carcharhinus brevipinna ; Carcharhinus cautus ; Carcharhinus dussumieri ; Carcharhinus obscurus ; Carcharhinus sealei,cucut lanjaman (jawa); hiu lanjaman; hiu lanyam; hiu lanyam (jawa); hiu lanyaman (jawa); hiu lanyamhiu plen (bali); hiu lonjor; hiu merak bulu ( lombok); merak bulu; merak bulu (lombok),Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Carcharhinus altimus ; Carcharhinus altimus fish ; Carcharhinus amblyrhynchos ; Carcharhinus amblyrhynchos fish ; Carcharhinus amblyrhynchoides ; Carcharhinus amblyrhynchoides fish ; Carcharhinus brevipinna ; Carcharhinus brevipinna fish ; Carcharhinus cautus ; Carcharhinus cautus fish ; Carcharhinus dussumieri ; Carcharhinus dussumieri fish ; Carcharhinus obscurus ; Carcharhinus obscurus fish ; Carcharhinus sealei ; Carcharhinus sealei fish ; ikan Hiu lanjaman ; bignose shark fish,100
Hiu lepang,speckled swellshark,Cephaloscyllium pictum ; Halaelurus maculosus ; Haraelurus maculosus,cucut tokek; hiu lepang (lombok); hiu tokek; hiu tokek (jawa),Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Cephaloscyllium pictum ; Cephaloscyllium pictum fish ; Halaelurus maculosus ; Halaelurus maculosus fish ; Haraelurus maculosus ; Haraelurus maculosus fish ; ikan Hiu lepang ; speckled swellshark fish,100
Hiu macan,tiger shark,Galeocerdo cuvier ; Stegostoma fasciatum,hiu belimbing (jawa); hiu macan (lombok); hiu macan totol; hiu omas (jawa); hiu zebra; kluyu blimbingan (lombok); leopard shark; mungsing jara (bali),Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Galeocerdo cuvier ; Galeocerdo cuvier fish ; Stegostoma fasciatum ; Stegostoma fasciatum fish ; ikan Hiu macan ; tiger shark fish,100
Hiu mako,shortfin mako,Isurus oxyrinchus,hiu tenggiri; hiu anjing; hiu mako ; hiu kakap,Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Isurus oxyrinchus ; Isurus oxyrinchus fish ; ikan Hiu mako ; shortfin mako fish,100
Hiu mako sirip panjang,longfin mako,Isurus paucus,hiu tenggiri; hiu mako bersirip panjang; hiu anjing,Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Isurus paucus ; Isurus paucus fish ; ikan Hiu mako sirip panjang ; longfin mako fish,100
Hiu mako sirip pendek,shortfin mako,Isurus glaucus,,Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Isurus glaucus ; Isurus glaucus fish ; ikan Hiu mako sirip pendek ; shortfin mako fish,100
Hiu martil,winghead shark,Eusphyra blochii ; Sphyrna mokarran ; Sphyrna zygaena,hiu bingkoh; hiu capil; hiu caping; hiu topeng,Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Sphyrna mokarran ; Sphyrna mokarran fish ; Sphyrna zygaena ; Sphyrna zygaena fish ; Eusphyra blochii ; Eusphyra blochii fish ; ikan Hiu martil ; great hammerhead shark fish,100
Hiu merak bulu,spot-tail shark,Carcharhinus sorrah,mungsing (bali); merak bulu (lombok); cucut lanjaman; lanyam (jawa),Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Carcharhinus sorrah ; Carcharhinus sorrah fish ; ikan Hiu merak bulu ; spot-tail shark fish,100
Hiu monas,fossil shark,Hemipristis elongata,cucut monas; cucut prada,Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Hemipristis elongata ; Hemipristis elongata fish ; ikan Hiu monas ; fossil shark fish,100
Hiu mongiwa,pigeye shark,Carcharhinus amboinensis,hiu buas (jawa); merak bulu (lombok); hiu lonjor; cucut lanjaman; hiu lanyam (jawa),Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Carcharhinus amboinensis ; Carcharhinus amboinensis fish ; ikan Hiu mongiwa ; pigeye shark fish,100
Hiu mulut raksasa,megamouth shark,Megachasma pelagios,,Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Megachasma pelagios ; Megachasma pelagios fish ; ikan Hiu mulut raksasa ; megamouth shark fish,100
Hiu narrownose,narrownose smoothhound,Mustellus schimitti,,Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Mustellus schimitti ; Mustellus schimitti fish ; ikan Hiu narrownose ; narrownose smoothhound fish,100
Hiu paus,whale shark,Rhincodon typus,hiu bodoh; hiu geger lintang; hiu totol; hiu bintang,Hiu,LAUT,KONSUMSI,NON HIAS,YA,HIGH,Rhincodon typus ; Rhincodon typus fish ; ikan Hiu paus ; whale shark fish,100
Hiu perawat,nurse shark,Ginglymostoma cirratum,,Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Ginglymostoma cirratum ; Ginglymostoma cirratum fish ; ikan Hiu perawat ; nurse shark fish,100
Hiu pilus,hooktooth shark,Chaenogaleus macrosatoma ; Rhizoprionodon acutus ; Rhizoprionodon oligolink ; Rhizoprionodon taylori,hiu kacang (jawa); hiu pilus; hiu pisang; hiu plen,Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Chaenogaleus macrosatoma ; Chaenogaleus macrosatoma fish ; Rhizoprionodon acutus ; Rhizoprionodon acutus fish ; Rhizoprionodon oligolink ; Rhizoprionodon oligolink fish ; Rhizoprionodon taylori ; Rhizoprionodon taylori fish ; ikan Hiu pilus ; hooktooth shark fish,100
Hiu pisang,sliteye shark,Loxodon macrorhinus,cucut pisang; hiu kejen,Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Loxodon macrorhinus ; Loxodon macrorhinus fish ; ikan Hiu pisang ; sliteye shark fish,100
Hiu pogak,ghost shark,Hydrolagus lemures,cucut pogak,Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Hydrolagus lemures ; Hydrolagus lemures fish ; ikan Hiu pogak ; ghost shark fish,100
Hiu putih,white shark,Carcharodon carcharias,hiu putih,Hiu,LAUT,KONSUMSI,NON HIAS,YA,HIGH,Carcharodon carcharias ; Carcharodon carcharias fish ; ikan Hiu putih ; white shark fish,100
Hiu sicklefin,sicklefin lemon shark,Negaprion acutidens,,Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Negaprion acutidens ; Negaprion acutidens fish ; ikan Hiu sicklefin ; sicklefin lemon shark fish,100
Hiu sirip hitam,blacktip shark,Carcharhinus limbatus,hiu kejen; merak bulu (bali); cucut lanjaman;  hiu lanyam (jawa),Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Carcharhinus limbatus ; Carcharhinus limbatus fish ; ikan Hiu sirip hitam ; blacktip shark fish,100
Hiu sirip putih,oceanic whitetip shark,Carcharhinus longimanus,hiu koboi,Hiu,LAUT,KONSUMSI,NON HIAS,YA,HIGH,Carcharhinus longimanus ; Carcharhinus longimanus fish ; ikan Hiu sirip putih ; oceanic whitetip shark fish,100
Hiu sonteng,silvertip shark,Carcharhinus albimarginatus,hiu sirip perak; hiu lanyam(jawa); hiu plen (bali); hiu sonteng (lombok); cucut lanjaman,Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Carcharhinus albimarginatus ; Carcharhinus albimarginatus fish ; ikan Hiu sonteng ; silvertip shark fish,100
Hiu sutra,silky shark,Carcharhinus falciformis,munsing (bali); hiu lonjor (lombok); hiu lanyaman; hiu lanyam (jawa); hiu kejen,Hiu,LAUT,KONSUMSI,NON HIAS,YA,HIGH,Carcharhinus falciformis ; Carcharhinus falciformis fish ; ikan Hiu sutra ; silky shark fish,100
Hiu tahu,false catshark,Pseudotriakis microdon,hiu tahu (lombok),Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Pseudotriakis microdon ; Pseudotriakis microdon fish ; ikan Hiu tahu ; false catshark fish,100
Hiu tahu putih,bluntnose sixgill shark,Hexanchus griseus,cucut meong (jawa); hiu tahu putih (lombok),Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Hexanchus griseus ; Hexanchus griseus fish ; ikan Hiu tahu putih ; bluntnose sixgill shark fish,100
Hiu taji,mandarin dogfish,Cirrhigaleus barbifer ; Squalus edemudsi ; Squalus hemipinnis ; Squalus mantalbani ; Squalus megalops ; Squalus nasutus,cucut botol; hiu botol (jawa barat); hiu karang; hiu karil; hiu senget (bali); hiu senget (bali). cucut botol (jakarta); hiu taji (lombok); hiu tinggsm hitsm (sumatera),Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Cirrhigaleus barbifer ; Cirrhigaleus barbifer fish ; Squalus edemudsi ; Squalus edemudsi fish ; Squalus hemipinnis ; Squalus hemipinnis fish ; Squalus mantalbani ; Squalus mantalbani fish ; Squalus megalops ; Squalus megalops fish ; Squalus nasutus ; Squalus nasutus fish ; ikan Hiu taji ; mandarin dogfish fish,100
Hiu tanduk putih,whitetip reef shark,Triaenodon obesus,hiu bokem; hiu karang buas; hiu coklatan; coklat karang,Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Triaenodon obesus ; Triaenodon obesus fish ; ikan Hiu tanduk putih ; whitetip reef shark fish,100
Hiu tembaga,copper shark,Carcharhinus brachyurus,cucut kebo; hiu merak bulu lombok,Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Carcharhinus brachyurus ; Carcharhinus brachyurus fish ; ikan Hiu tembaga ; copper shark fish,100
Hiu teteri,sandbar shark,Carcharhinus plumbeus,hiu teteri (lombok); cucut lanjaman (jawa),Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Carcharhinus plumbeus ; Carcharhinus plumbeus fish ; ikan Hiu teteri ; sandbar shark fish,100
Hiu tikus,pelagic thresher,Alopias Pelagicus ; Alopias superciliosus ; Alopias vulpinus ; Dalatias licha,cucut  tikus; cucut paitan; cucut pedang (jakarta); cucut pedang jakarta; cucut tikus (lombok); cucut tikus lombok; hiu beurit (jawa barat); hiu lancur; hiu lancur (bali); hiu lancur bali; hiu monyet; hiu monyet (bali); paitan (cilacap); tikusan (cilacap); tikusan cilacap; yee tikoh,Hiu,LAUT,KONSUMSI,NON HIAS,YA,HIGH,Alopias Pelagicus ; Alopias Pelagicus fish ; Alopias superciliosus ; Alopias superciliosus fish ; Alopias vulpinus ; Alopias vulpinus fish ; Dalatias licha ; Dalatias licha fish ; ikan Hiu tikus ; pelagic thresher fish,100
Hiu tjutjot pisang,gray bambooshark,Chiloscyllium griseum,,Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Chiloscyllium griseum ; Chiloscyllium griseum fish ; ikan Hiu tjutjot pisang ; gray bambooshark fish,100
Hiu tokek,bali catshark,Atelomycterus baliensis ; Atelomycterus marmoratus,cucut tokek; hiu tokek; hiu tokek (bali),Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Atelomycterus baliensis ; Atelomycterus baliensis fish ; Atelomycterus marmoratus ; Atelomycterus marmoratus fish ; ikan Hiu tokek ; bali catshark fish,100
Hokke,okhotsk atka mackerel,Pleurogrammus azonus,,Mackerel,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Pleurogrammus azonus ; Pleurogrammus azonus fish ; ikan Hokke ; okhotsk atka mackerel fish,100
Honshu pipefish,honshu pipefish,Doryrhamphus japonicus,,Pipefish,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Doryrhamphus japonicus ; Doryrhamphus japonicus fish ; ikan Honshu pipefish ; honshu pipefish fish,100
